Models,Accuracy,Precision,Recall,F1 Score,Duration,TP,FP,FN,TN
lr,0.9273174048774456,0.8911388492409674,0.9062983757828398,0.8983707641773724,0:00:00.029018,94536,5527,3879,25470
lr knn,0.9935786480388218,0.9929671326498555,0.9886841113601788,0.9908053604746829,0:00:33.599279,99827,236,595,28754
lr knn rf,0.9973340957561896,0.997113622573597,0.9952782496694874,0.9961922500637873,0:00:41.327725,99967,96,249,29100
lr knn rf gnb,0.9954100083454394,0.9959857590399632,0.990915802093371,0.9934226201401104,0:00:52.225384,99977,86,508,28841
lr knn rf gnb dt,0.9981609124347046,0.9983997602936677,0.9963546904936755,0.9973726644271235,0:00:53.302512,100029,34,204,29145
lr knn rf adb gnb dt,0.998500911816524,0.9986076814799438,0.9971163296429189,0.9978595806356884,0:00:55.230450,100028,35,159,29190
knn,0.993895465644608,0.992709153684892,0.9898521425794571,0.9912716197250508,0:00:51.816052,99788,275,515,28834
knn rf,0.9976663678793312,0.9975709873521985,0.995770022887557,0.9966669600515066,0:00:31.980913,99987,76,226,29123
knn rf gnb,0.9965536426297407,0.9972028163680782,0.9929676420792446,0.995065631279247,0:00:32.782268,100016,47,399,28950
knn rf gnb dt,0.9990727289586746,0.9990504678248375,0.9983047829344497,0.9986770195754036,0:00:29.824909,100034,29,91,29258
knn rf adb gnb dt,0.9992427286495843,0.999184707203763,0.9986555037500724,0.9989198004283055,0:00:33.425940,100036,27,71,29278
rf,0.9994590918925602,0.9991209182823155,0.9993371932675839,0.9992290047971137,0:00:00.869224,100019,44,26,29323
rf gnb,0.9927054678082403,0.9943285021701656,0.9848688011141893,0.9895004157475122,0:00:00.918389,99984,79,865,28484
rf gnb dt,0.9993895465644608,0.9992678270362725,0.9989912340097455,0.9991294471983945,0:00:00.944228,100035,28,51,29298
rf adb gnb dt,0.9993818193057831,0.9992387681380375,0.9989982766613619,0.9991184594011155,0:00:01.996245,100033,30,50,29299
gnb,0.8003199085092573,0.768623741794852,0.5840110956340308,0.5914921067510547,0:00:00.114560,98049,2014,23827,5522
gnb dt,0.9989181837851204,0.9988177640276743,0.9980964903623886,0.9984565600623299,0:00:00.116576,100023,40,100,29249
adb gnb dt,0.9979290946743733,0.9982255644704898,0.9958676788333902,0.9970405569838618,0:00:01.199462,100027,36,232,29117
adb,0.9965845516644515,0.9951424673767824,0.9951186216243002,0.9951305438745726,0:00:01.084651,99843,220,222,29127
adb dt,0.999250455908262,0.9989134101986341,0.9989494486884452,0.9989314280274555,0:00:01.139719,100013,50,47,29302
dt,0.9992272741322289,0.9989223175490312,0.9988742606144977,0.9988982865638647,0:00:00.034004,100015,48,52,29297
gnb,0.8003199085092573,0.768623741794852,0.5840110956340308,0.5914921067510547,0:00:00.087633,98049,2014,23827,5522
rf,0.9994668191512379,0.999137920563896,0.9993421901195672,0.9992400098686401,0:00:00.835444,100020,43,26,29323
rf adb gnb dt,0.9993740920471054,0.9992217356878168,0.9989932798093786,0.9991074508950302,0:00:02.074894,100032,31,50,29299
