Models,Accuracy,Precision,Recall,F1 Score,Duration,TP,FP,FN,TN
lr,0.853940772,0.750911116,0.759346575,0.75498299,00:00.1,110374,11398,10249,16186
lr rf,0.988826439,0.990048812,0.971698779,0.980577864,00:04.2,121568,204,1452,24983
lr knn rf,0.985479768,0.983950806,0.966152623,0.974769089,00:21.5,121309,463,1689,24746
rf adb gnb dt,0.989589,0.987595,0.976694,0.98204,00:02.7,121375,397,1146,25289
lr knn rf gnb dt,0.98784133,0.989408131,0.968966905,0.978819516,00:22.3,121566,206,1596,24839
lr knn rf adb gnb dt,0.987800846,0.98933606,0.968897844,0.978748992,00:15.1,121563,209,1599,24836
knn,0.975075401,0.96239722,0.951795028,0.9569903,00:10.8,120309,1463,2231,24204
knn rf,0.986943937,0.984706333,0.970449538,0.977397093,00:13.4,121296,476,1459,24976
knn rf gnb,0.985081676,0.987594176,0.961334607,0.973853403,00:08.2,121559,213,1998,24437
knn rf gnb dt,0.989879021,0.990393173,0.974945578,0.982459984,00:17.1,121548,224,1276,25159
knn rf adb gnb dt,0.989912757,0.990491026,0.974966109,0.982517121,00:15.9,121553,219,1276,25159
rf,0.99045929,0.988733773,0.97855652,0.983554,00:02.8,121414,358,1056,25379
rf gnb,0.986923695,0.990599411,0.964765647,0.977095658,00:03.3,121676,96,1842,24593
rf gnb dt,0.989534907,0.987308279,0.976794522,0.981953774,00:03.7,121358,414,1137,25298
rf adb gnb dt,0.989588886,0.987595306,0.976694096,0.982039812,00:02.7,121375,397,1146,25289
adb,0.967950232,0.959227071,0.929496608,0.943518398,00:01.6,120466,1306,3444,22991
adb gnb,0.822160897,0.713773229,0.503652135,0.459512923,00:01.5,121625,147,26210,225
adb gnb dt,0.982045382,0.972357883,0.966046961,0.969165925,00:01.5,120666,1106,1555,24880
gnb,0.821121809,0.573769849,0.50073933,0.453525925,00:00.0,121625,147,26364,71
gnb dt,0.984548638,0.973035231,0.974322878,0.97367754,00:00.1,120581,1191,1099,25336
dt,0.984602617,0.972943555,0.974622275,0.973780341,00:00.1,120571,1201,1081,25354
,,,,,,,,,
rf,0.9903378382937378,0.9885519126367762,0.9783197200526832,0.9833436404489377,0:00:01.819699,121407,365,1067,25368
knn rf adb gnb dt,0.9899599883946102,0.9904589617846437,0.9751577419215567,0.9826029503494476,0:00:08.736094,121549,223,1265,25170
